Date/Time, % CPU Time, % Disk Time, % Used memory, % Used agent RAM, RAM size (bytes)
1747858931000, 0, 0, 0, 34, 8217292800
1747858932000, 9, 3, 0, 34, 8217292800
1747858933000, 15, 9, 1, 34, 8217292800
1747858934000, 17, 3, 2, 35, 8217292800
1747858935000, 5, 0, 2, 35, 8217292800
1747858936000, 8, 0, 2, 35, 8217292800
1747858937000, 13, 0, 3, 36, 8217292800
1747858938000, 11, 1, 1, 34, 8217292800
1747858939000, 21, 6, 2, 35, 8217292800
1747858940000, 16, 16, 5, 37, 8217292800
1747858941000, 9, 1, 6, 37, 8217292800
1747858942000, 17, 0, 6, 38, 8217292800
1747858943000, 16, 2, 7, 38, 8217292800
1747858944000, 20, 5, 7, 38, 8217292800
1747858945000, 17, 1, 8, 39, 8217292800
1747858946000, 20, 0, 8, 39, 8217292800
1747858947000, 17, 0, 8, 39, 8217292800
1747858948000, 20, 4, 9, 39, 8217292800
1747858949000, 18, 0, 9, 39, 8217292800
1747858950000, 21, 17, 8, 39, 8217292800
1747858951000, 20, 4, 8, 39, 8217292800
1747858952000, 19, 0, 10, 40, 8217292800
1747858953000, 18, 0, 9, 40, 8217292800
1747858954000, 9, 0, 10, 40, 8217292800
1747858955000, 14, 27, 10, 40, 8217292800
1747858956000, 15, 0, 10, 40, 8217292800
1747858957000, 14, 1, 9, 40, 8217292800
1747858958000, 14, 0, 9, 40, 8217292800
1747858959000, 24, 7, 10, 40, 8217292800
1747858960000, 26, 19, 11, 41, 8217292800
1747858961000, 35, 51, 11, 41, 8217292800
1747858962000, 40, 54, 11, 41, 8217292800
1747858963000, 34, 50, 11, 41, 8217292800
1747858964000, 22, 20, 11, 41, 8217292800
1747858965000, 16, 31, 12, 42, 8217292800
1747858966000, 9, 1, 14, 43, 8217292800
1747858967000, 8, 0, 13, 43, 8217292800
1747858968000, 5, 0, 14, 43, 8217292800
1747858969000, 7, 0, 15, 44, 8217292800
1747858970000, 6, 0, 15, 43, 8217292800
1747858971000, 13, 4, 15, 44, 8217292800
1747858972000, 20, 4, 16, 44, 8217292800
1747858973000, 19, 1, 16, 44, 8217292800
1747858974000, 19, 3, 16, 44, 8217292800
1747858975000, 21, 4, 15, 44, 8217292800
1747858976000, 17, 12, 16, 44, 8217292800
1747858977000, 16, 1, 17, 45, 8217292800
1747858978000, 20, 2, 18, 46, 8217292800
1747858979000, 28, 36, 17, 45, 8217292800
1747858980000, 13, 1, 7, 38, 8217292800
1747858981000, 34, 40, 12, 42, 8217292800
1747858982000, 24, 1, 14, 43, 8217292800
1747858983000, 23, 1, 15, 44, 8217292800
1747858984000, 20, 0, 15, 44, 8217292800
1747858985000, 23, 6, 16, 44, 8217292800
1747858986000, 21, 17, 17, 45, 8217292800
1747858987000, 68, 2, 29, 53, 8217292800
1747858988000, 61, 0, 32, 55, 8217292800
1747858989000, 27, 1, 23, 49, 8217292800
1747858990000, 22, 4, 9, 40, 8217292800
